ARFCN=637 PWR=-72dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=36 PWR=-79dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=640 PWR=-76dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=580 PWR=-79dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=122 PWR=-81dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=568 PWR=-81dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=641 PWR=-85dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=650 PWR=-88dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=27 PWR=-87dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=575 PWR=-88dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=642 PWR=-88dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=37 PWR=-91dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=659 PWR=-87dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=98 PWR=-89dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=570 PWR=-88dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=571 PWR=-86dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=583 PWR=-89dB MCC=460 MNC=00 (China, China Mobile)
Date: 2016/08/20 13:14:50
