ARFCN=36 PWR=-68dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=637 PWR=-70dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=640 PWR=-71dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=27 PWR=-80dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=122 PWR=-79dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=97 PWR=-83dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=98 PWR=-89dB MCC=460 MNC=01 (China, China Unicom)
ARFCN=568 PWR=-89dB MCC=460 MNC=00 (China, China Mobile)
ARFCN=96 PWR=-90dB MCC=460 MNC=01 (China, China Unicom)
Date: 2016/08/20 13:14:49
